"""Date"""	"""Open"""	"""High"""	"""Low"""	"""Close"""	"""BTCVol"""	"""CurVol"""	"""WeightedP"""
07/02/2018 08:00	7757	7831.15	7629.61	7701.21	795.14	6150202.24	7734.78
07/02/2018 09:00	7690.15	8049.99	7690	8009.99	1438.36	11405348.58	7929.41
07/02/2018 10:00	8009.99	8273.36	7897.2	8251	1550.31	12602172.66	8128.79
07/02/2018 11:00	8251	8364.29	8089.51	8252.26	2122.77	17491905.03	8240.11
07/02/2018 12:00	8252	8461.38	8145	8377.67	1275.4	10566420.49	8284.78
07/02/2018 13:00	8387.27	8649	8300	8314.74	2704.7	22944776.88	8483.31
07/02/2018 14:00	8300.02	8452.1	8130.01	8272.35	2489.3	20602716.03	8276.52
07/02/2018 15:00	8255.41	8350	8088	8198	1412.46	11587366.1	8203.69
07/02/2018 16:00	8217.33	8273.36	7953	8016.64	1870.53	15130147.49	8088.68
07/02/2018 17:00	8012.83	8356.4	8001	8338.21	1433.82	11774759.22	8212.15
07/02/2018 18:00	8339.42	8434	8232.14	8239.4	1083.28	9016120.73	8322.96
07/02/2018 19:00	8239.4	8274.76	8047.94	8171	1357.13	11051481.25	8143.27
07/02/2018 20:00	8171	8219.23	7969.22	8147.49	1002.71	8097179.67	8075.29
07/02/2018 21:00	8173.84	8273.36	8029.14	8090.32	551.14	4493065.91	8152.29
07/02/2018 22:00	8080	8092.24	7794	7858.88	1104.29	8734817.66	7909.89
07/02/2018 23:00	7848	7857.26	7543.27	7588.01	1722.33	13195572.4	7661.45
08/02/2018 00:00	7588.01	7831.15	7565.5	7721	1206.46	9346620.91	7747.14
08/02/2018 01:00	7721	7929.53	7573.51	7895.94	730.5	5682040.75	7778.33
08/02/2018 02:00	7878.01	8150	7878.01	8041.8	875.08	7020347.95	8022.56
08/02/2018 03:00	8041.8	8109	7870.35	7997	480.99	3838027.85	7979.39
08/02/2018 04:00	7974.73	8249.5	7947.81	8160	473.19	3861188.61	8159.97
08/02/2018 05:00	8163.94	8214.81	7969.88	7989.54	334.02	2703395.68	8093.51
08/02/2018 06:00	7969.9	8069.34	7860	8031.98	734.18	5848662.94	7966.28
08/02/2018 07:00	8020	8335.56	8001	8312	798.76	6512537.86	8153.3
08/02/2018 08:00	8320.93	8377.29	8191.14	8237.2	632.05	5240298.55	8290.98
08/02/2018 09:00	8242.45	8360.78	8150.33	8334.9	850.24	7006467.42	8240.59
08/02/2018 10:00	8323.16	8630.02	8300	8562.36	1995.24	16938719.01	8489.58
08/02/2018 11:00	8571	8571	8440.28	8480.01	786.4	6691925.12	8509.61
08/02/2018 12:00	8493.35	8644.36	8356.4	8592.42	1112.52	9451558.89	8495.64
08/02/2018 13:00	8610.66	8610.66	8440.28	8445.01	833.11	7081496.68	8500.04
08/02/2018 14:00	8445.01	8503.74	8314.78	8437.3	1097.01	9218960.56	8403.7
08/02/2018 15:00	8412.96	8450.23	8200	8216.18	792.86	6592887.08	8315.28
08/02/2018 16:00	8207.73	8300	8109.74	8280	1678.5	13778143.32	8208.61
08/02/2018 17:00	8280	8288.69	8136.6	8188.69	1129.94	9255473.16	8191.11
08/02/2018 18:00	8185.76	8260.74	8050	8218.66	1675.53	13644421.95	8143.35
08/02/2018 19:00	8218.11	8467.08	8186.52	8416.83	1278.61	10667829.58	8343.28
08/02/2018 20:00	8416.78	8419.86	8273.81	8300	512.74	4285890.77	8358.86
08/02/2018 21:00	8293.82	8390.91	8160	8170.62	1475.28	12123770.81	8217.95
08/02/2018 22:00	8170.62	8377.29	8111.55	8229.44	843.35	6917458.73	8202.33
08/02/2018 23:00	8219.24	8334	8150.69	8259.76	419.84	3449873.48	8217.04
09/02/2018 00:00	8259.42	8259.42	7816.88	7924.49	1804.53	14376283.59	7966.75
09/02/2018 01:00	7901.08	8033.2	7792.14	7993.12	1345.08	10619983.65	7895.45
09/02/2018 02:00	7992.37	8150	7898.88	8123.95	871.47	6971657.52	7999.9
09/02/2018 03:00	8132.58	8132.58	7900	8088.99	652.02	5209726.64	7990.09
09/02/2018 04:00	8082.44	8089	7811.62	7847.44	564.9	4474023.94	7919.96
09/02/2018 05:00	7847.89	7929.53	7753.32	7896.22	888.42	6957590.3	7831.45
09/02/2018 06:00	7896.17	7989.15	7800	7960.71	479.84	3785128.62	7888.37
09/02/2018 07:00	7971.47	8089.51	7949.23	8009.97	566.51	4538557.88	8011.45
09/02/2018 08:00	8010	8109.74	7875	8090.24	608.66	4853308.22	7973.78
09/02/2018 09:00	8076.55	8335.56	8072	8250.01	893.89	7353441.97	8226.3
09/02/2018 10:00	8250.01	8330.59	8168.88	8248.66	490.11	4035718.81	8234.25
09/02/2018 11:00	8239.99	8397.27	8200	8258.1	651.59	5417591.79	8314.44
09/02/2018 12:00	8265.85	8279.49	8170.55	8224.93	449.54	3700431.79	8231.66
09/02/2018 13:00	8220.64	8305	8198.88	8285.09	266.45	2201168.53	8261.03
09/02/2018 14:00	8285.08	8489.98	8254.03	8410	1173.67	9872212.25	8411.4
09/02/2018 15:00	8415.16	8455.3	8308	8331.82	403.62	3386553.26	8390.38
09/02/2018 16:00	8331.8	8414.69	8320	8382.56	371.34	3115521.13	8390
09/02/2018 17:00	8382.45	8779.62	8370.1	8625	2499.88	21548880.71	8619.97
09/02/2018 18:00	8625	8732.29	8573.48	8622.27	659.92	5706481.86	8647.29
09/02/2018 19:00	8622.27	8725	8612.18	8620.04	411.63	3571848.93	8677.35
09/02/2018 20:00	8644.4	8725	8536.2	8577.36	617.83	5323637.57	8616.62
09/02/2018 21:00	8577.35	8644.99	8463.8	8540.21	655.54	5601690.55	8545.12
09/02/2018 22:00	8557.19	8613.1	8463.95	8599.72	320.18	2724447.48	8509.03
09/02/2018 23:00	8599.72	8725	8557.51	8693.98	771.49	6694172.9	8676.94
10/02/2018 00:00	8693.98	8899	8610	8886.89	1106.27	9725117.98	8790.94
10/02/2018 01:00	8886.89	9001	8806.26	8849.48	1281.66	11437974.16	8924.37
10/02/2018 02:00	8824.42	8991.49	8806.32	8948.05	306.88	2736258.62	8916.46
10/02/2018 03:00	8944.68	9028.9	8880.02	8921.21	472.1	4232779.28	8965.77
10/02/2018 04:00	8931.16	8958.66	8822.22	8839.9	289.09	2562460.09	8864
10/02/2018 05:00	8838	8955.58	8822.56	8890.74	327.7	2917014.52	8901.4
10/02/2018 06:00	8890.64	9069	8879.96	9069	406.03	3646974.08	8982.09
10/02/2018 07:00	9056.62	9090.8	8872.47	8966.17	1233.93	11108032.47	9002.17
10/02/2018 08:00	8952.01	8966.15	8675.31	8677	872.85	7675797.99	8793.93
10/02/2018 09:00	8706	8820	8612	8649.96	630.78	5504229.71	8726.01
10/02/2018 10:00	8649.96	8712.56	8546.31	8546.31	622.03	5357590.76	8613.13
10/02/2018 11:00	8546.31	8730	8546.31	8670	476.35	4125020.51	8659.59
10/02/2018 12:00	8678.31	8703.93	8550	8649.98	263.73	2274667.99	8625.05
10/02/2018 13:00	8646.77	8806.26	8618.88	8762.04	453.47	3961974.75	8736.98
10/02/2018 14:00	8762.04	8828.27	8583.11	8641.61	409.45	3550007.52	8670.12
10/02/2018 15:00	8640.59	8651.59	8296.31	8373.9	1421.34	11966655.46	8419.29
10/02/2018 16:00	8359	8482.53	8254	8308.02	739.23	6182380.46	8363.28
10/02/2018 17:00	8307.11	8503.74	8306.62	8445.56	501.44	4230890.48	8437.55
10/02/2018 18:00	8446.16	8464.51	8321	8322.01	370.57	3103285.29	8374.33
10/02/2018 19:00	8333.19	8475.6	8273.36	8444.28	549.75	4596256.53	8360.62
10/02/2018 20:00	8444.17	8464.16	8191.14	8226.81	499.89	4144232.13	8290.36
10/02/2018 21:00	8211.03	8350	8170.86	8280.36	627.03	5179521.65	8260.37
10/02/2018 22:00	8280.36	8589.1	8271	8564.32	609.91	5163285.84	8465.67
10/02/2018 23:00	8569.75	8589.08	8483.71	8560	199.09	1700162.44	8539.67
11/02/2018 00:00	8560	8560	8300	8416.17	438.41	3681487.76	8397.38
11/02/2018 01:00	8416.17	8424.78	8185.66	8266.52	671.61	5544428.04	8255.41
11/02/2018 02:00	8255.01	8310	8190	8252.4	259.32	2135624.55	8235.62
11/02/2018 03:00	8249.25	8256.65	7998.56	8044.91	988.54	8001590.44	8094.32
11/02/2018 04:00	8044.9	8170.71	7909.75	7992.13	656.95	5270645.05	8022.93
11/02/2018 05:00	7986.65	8140	7956	8119.55	494.26	3980032.09	8052.49
11/02/2018 06:00	8120.04	8131.66	7969.22	8068.71	546.83	4383734.96	8016.67
11/02/2018 07:00	8064.22	8079.96	7876	7926.3	814.72	6489243	7965.03
11/02/2018 08:00	7942.97	7942.97	7820	7925.08	1069.58	8407527.58	7860.56
11/02/2018 09:00	7913.13	8120	7828.9	8120	466.07	3721360.4	7984.5
11/02/2018 10:00	8120	8139.99	7959.74	7981.15	529.92	4269600.23	8057.03
11/02/2018 11:00	7981.15	8200	7950.02	8192.61	540.28	4375202.84	8098.04
11/02/2018 12:00	8192.61	8348.8	8128	8284.99	656.82	5437336.28	8278.29
11/02/2018 13:00	8284	8343.62	8212.28	8268.04	314.39	2607534.95	8293.93
11/02/2018 14:00	8268	8455	8216.53	8455	475.98	3970590.37	8341.94
11/02/2018 15:00	8455	8457	8330.02	8414.26	241.99	2028703.55	8383.34
11/02/2018 16:00	8425	8494.43	8273.36	8325	574.08	4806067.54	8371.78
11/02/2018 17:00	8335.16	8384.76	8155.68	8202.96	508.02	4190950.98	8249.62
11/02/2018 18:00	8211.02	8344.3	8178.43	8325.22	199.04	1644635.02	8262.74
11/02/2018 19:00	8342.6	8400	8241.65	8290	360.92	3009147.98	8337.33
11/02/2018 20:00	8290	8305.84	8181	8226.1	250.66	2062490.66	8228.18
11/02/2018 21:00	8227.21	8350	8216.59	8293.02	198.26	1645268.86	8298.4
11/02/2018 22:00	8293.03	8350.67	8247.1	8319.71	309.61	2573721.43	8312.67
11/02/2018 23:00	8319.03	8319.03	8026	8067	1145.51	9305616.04	8123.56
12/02/2018 00:00	8077.25	8273.34	8067	8205.87	373.18	3055228.54	8186.96
12/02/2018 01:00	8217.69	8419.23	8170	8343.96	659.87	5503454.67	8340.21
12/02/2018 02:00	8340.06	8542.87	8298.03	8539.41	818.84	6914759.67	8444.59
12/02/2018 03:00	8538.03	8569.87	8440	8483.17	653.48	5553284.83	8498.05
12/02/2018 04:00	8483.18	8555.94	8446.63	8485.38	287.95	2447645.44	8500.34
12/02/2018 05:00	8493.61	8493.61	8356.4	8373.59	396.24	3334983.35	8416.62
12/02/2018 06:00	8365.22	8469	8365	8415	246.91	2078728.16	8418.99
12/02/2018 07:00	8415	8530	8360.48	8468.45	374.98	3172219.71	8459.69
12/02/2018 08:00	8472.05	8813.88	8462.19	8769.41	1697.3	14798506.98	8718.83
12/02/2018 09:00	8768.77	8817.12	8715.95	8799.9	774.83	6792375.6	8766.23
12/02/2018 10:00	8789.89	8850	8715.05	8830.46	594.37	5227831.96	8795.54
12/02/2018 11:00	8837.22	8840.99	8651	8658.92	717.21	6252910.24	8718.37
12/02/2018 12:00	8656.76	8771.98	8651	8760.32	902.17	7858737.03	8710.97
12/02/2018 13:00	8769.5	8788	8630.39	8671.19	572.11	4976519.13	8698.54
12/02/2018 14:00	8671.2	8704.41	8525	8546.1	758.02	6510508.63	8588.86
